6701004,Dequeen Middle School,DEQUEEN SCHOOL DISTRICT,6-7,N/A,332,5,15,N/A
6701005,Dequeen Junior High School,DEQUEEN SCHOOL DISTRICT,8-9,N/A,370,5,14,N/A
6701002,Dequeen Primary,DEQUEEN SCHOOL DISTRICT,K-2,N/A,620,5,18,N/A
0901003,Dermott High School,DERMOTT SCHOOL DISTRICT,7-12,N/A,144,2,6,N/A
0901001,Dermott Elementary School,DERMOTT SCHOOL DISTRICT,K-6,N/A,216,2,16,N/A
5901002,Des Arc High School,DES ARC SCHOOL DISTRICT,7-12,N/A,259,2,13,N/A
5901001,Des Arc Elementary School,DES ARC SCHOOL DISTRICT,K-6,N/A,264,2,18,N/A
0101003,Dewitt Middle School,DEWITT SCHOOL DISTRICT,6-8,N/A,285,4,14,N/A
0101004,Dewitt High School,DEWITT SCHOOL DISTRICT,9-12,N/A,390,4,13,N/A
0101001,Dewitt Elementary School,DEWITT SCHOOL DISTRICT,K-5,N/A,515,4,18,N/A
0101008,Gillett Elementary School,DEWITT SCHOOL DISTRICT,K-5,N/A,79,4,12,N/A
3102002,Dierks High School,DIERKS SCHOOL DISTRICT,7-12,N/A,250,2,11,N/A
3102001,Joann Walters Elementary Sch,DIERKS SCHOOL DISTRICT,K-6,N/A,330,2,18,N/A
6094001,Arkansas Consolidated High School-Alexander,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,5-12,N/A,100,6,5,N/A
6094004,Arkansas Consolidated High School-Lewisville,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7-12,N/A,20,6,7,N/A
6094007,Arkansas Consolidated High School-Colt,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7-12,N/A,25,6,5,N/A
6094005,Arkansas Consolidated High School-Mansfield,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7-12,N/A,29,6,3,N/A
6094002,Arkansas Consolidated High School-Dermott,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7-12,N/A,59,6,2,N/A
6094006,Arkansas Consolidated High School-Harrisburg,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,8-12,N/A,33,6,6,N/A
